Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Daytime,Wind_Chill(F)_Missing,End_Lng_Missing,End_Lat_Missing,Temperature(F)_Missing,Humidity(%)_Missing,Pressure(in)_Missing,Visibility(mi)_Missing,Wind_Direction_Missing,Wind_Speed(mph)_Missing,Precipitation(in)_Missing
3,1454919282,1454921082,39.952812,-83.119293,-9999.0,-9999.0,0.01,1454917800,35.6,30.7,93.0,29.64,5.0,292.5,5.8,-9999.0,16,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3,1454919687,1454921487,39.932709,-82.83091,-9999.0,-9999.0,0.01,1454920080,37.4,33.8,100.0,29.62,3.0,202.5,4.6,0.02,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1454920594,1454922394,39.737633,-84.14993299999998,-9999.0,-9999.0,0.0,1454920080,33.8,-9999.0,100.0,29.63,3.0,225.0,2.3,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2,1454920627,1454922427,39.79076,-84.241547,-9999.0,-9999.0,0.01,1454921760,36.0,31.1,89.0,29.65,10.0,315.0,5.8,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
2,1454920783,1454922583,39.972038,-82.913521,-9999.0,-9999.0,0.01,1454920080,37.4,33.8,100.0,29.62,3.0,202.5,4.6,0.02,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
2,1454921000,1454922800,39.745888,-84.17041,-9999.0,-9999.0,0.01,1454920080,33.8,-9999.0,100.0,29.63,3.0,225.0,2.3,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2,1454921597,1454923397,39.748329,-84.224007,-9999.0,-9999.0,0.01,1454921880,35.6,-9999.0,99.0,29.65,7.0,247.5,2.3,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2,1454923477,1454925277,39.752174,-84.239952,-9999.0,-9999.0,0.0,1454921760,36.0,31.1,89.0,29.65,10.0,315.0,5.8,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1454923517,1454925317,39.740669,-84.184135,-9999.0,-9999.0,0.01,1454924280,37.4,32.1,93.0,29.63,10.0,247.5,6.9,-9999.0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
2,1454924135,1454925935,39.790703,-84.244461,-9999.0,-9999.0,0.01,1454925360,36.0,30.3,89.0,29.65,10.0,-9999.0,6.9,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
2,1454926275,1454928075,40.052509,-82.88233199999998,-9999.0,-9999.0,0.0,1454926440,33.8,29.6,100.0,29.62,2.0,337.5,4.6,0.01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1454927067,1454928867,39.773346,-84.224686,-9999.0,-9999.0,0.0,1454925360,36.0,30.3,89.0,29.65,10.0,-9999.0,6.9,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
2,1454932399,1454934199,39.628288,-84.226151,-9999.0,-9999.0,0.01,1454932380,35.1,28.6,89.0,29.65,6.0,247.5,8.1,0.02,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
3,1454932800,1454935500,40.023487,-82.994888,-9999.0,-9999.0,0.01,1454932260,37.0,32.4,96.0,29.63,8.0,-9999.0,5.8,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
2,1454933804,1454936504,39.761379,-84.25921600000002,-9999.0,-9999.0,0.01,1454934000,37.9,30.9,76.0,29.62,10.0,292.5,10.4,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
2,1454935268,1454937068,40.158024,-82.641762,-9999.0,-9999.0,1.32,1454935860,37.9,34.4,100.0,29.6,5.0,-9999.0,4.6,0.01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
2,1454935925,1454938625,39.733219,-84.159653,-9999.0,-9999.0,0.0,1454935980,36.0,29.0,86.0,29.63,7.0,-9999.0,9.2,0.0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
2,1454941488,1454944188,39.775303,-84.200523,-9999.0,-9999.0,0.0,1454939760,39.9,32.9,70.0,29.61,10.0,292.5,11.5,0.0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
2,1454943417,1454946117,39.789322,-84.23910500000002,-9999.0,-9999.0,0.01,1454943360,39.9,34.5,65.0,29.61,10.0,292.5,8.1,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1454945174,1454947874,39.75872,-84.183762,-9999.0,-9999.0,0.0,1454946360,39.2,35.9,75.0,29.62,10.0,22.5,4.6,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1454948168,1454949968,40.081459,-83.122398,-9999.0,-9999.0,0.01,1454946780,37.0,31.6,89.0,29.61,10.0,-9999.0,6.9,0.0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
2,1454953164,1454955864,39.83321,-84.112946,-9999.0,-9999.0,0.0,1454954280,34.2,31.2,97.0,29.66,10.0,315.0,3.5,0.02,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1454955840,1454965200,40.042725,-82.99730699999998,-9999.0,-9999.0,0.01,1454956980,33.8,28.6,100.0,29.62,6.0,-9999.0,5.8,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
3,1454959680,1454965200,39.974415,-82.848854,-9999.0,-9999.0,0.01,1454961060,34.0,-9999.0,100.0,29.65,6.0,-9999.0,-9999.0,0.07,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
2,1454962958,1454965658,39.994766,-83.02449,-9999.0,-9999.0,0.01,1454963220,33.1,26.1,92.0,29.63,7.0,292.5,8.1,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,1454964180,1454972400,40.006477,-83.030991,-9999.0,-9999.0,1.09,1454963940,33.1,25.5,92.0,29.63,9.0,292.5,9.2,0.0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2,1454992128,1454993928,39.742062,-84.186996,-9999.0,-9999.0,0.01,1454992080,23.0,11.7,93.0,29.65,5.0,225.0,11.5,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2,1454994274,1454996074,39.843521,-82.78157,-9999.0,-9999.0,0.01,1454993700,23.0,11.7,93.0,29.63,2.5,247.5,11.5,-9999.0,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
2,1454995028,1454996828,39.782578,-84.178688,-9999.0,-9999.0,0.01,1454993880,22.8,11.5,89.0,29.69,4.0,225.0,11.5,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,1454995640,1454997440,40.007626,-82.912155,-9999.0,-9999.0,0.01,1454995620,26.6,18.2,86.0,29.62,1.5,-9999.0,8.1,0.01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2,1454996457,1454998257,39.447502,-84.19120799999997,-9999.0,-9999.0,0.0,1454996700,21.0,10.6,85.0,29.67,0.8,225.0,9.2,0.01,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,1454996836,1454998636,39.787731,-84.173439,-9999.0,-9999.0,0.01,1454997480,23.0,12.4,86.0,29.71,3.0,225.0,10.4,0.0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2,1454997370,1454999170,39.426277,-83.624611,-9999.0,-9999.0,0.01,1454997240,19.9,6.7,89.0,29.75,1.8,247.5,13.8,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,1454998005,1454999805,39.978306,-82.852554,-9999.0,-9999.0,0.01,1454997060,25.0,15.5,88.0,29.65,1.0,225.0,9.2,0.02,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,1454998413,1455000213,39.84182,-84.18960600000003,-9999.0,-9999.0,0.01,1454997780,23.0,10.1,88.0,29.66,2.0,-9999.0,15.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
3,1454998369,1455000169,39.953625,-82.958954,-9999.0,-9999.0,0.01,1454997060,25.0,15.5,88.0,29.65,1.0,225.0,9.2,0.02,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,1454998910,1455000710,40.053082,-83.049644,-9999.0,-9999.0,0.01,1454998920,26.1,15.0,84.0,29.63,2.0,-9999.0,12.7,0.0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
3,1454998846,1455000646,39.936874,-82.878723,-9999.0,-9999.0,0.01,1454999760,24.8,16.1,86.0,29.64,1.0,225.0,8.1,0.01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,1454999681,1455001481,39.780643,-84.16349,-9999.0,-9999.0,0.01,1455000660,23.0,11.7,86.0,29.68,4.0,225.0,11.5,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
3,1455000069,1455001869,39.773193,-84.187454,-9999.0,-9999.0,0.01,1455000660,23.0,11.7,86.0,29.68,4.0,225.0,11.5,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1455000498,1455002298,39.77858,-84.20468100000002,-9999.0,-9999.0,0.01,1455000960,21.9,9.8,92.0,29.71,2.0,247.5,12.7,0.01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1455000789,1455002589,39.792988,-84.20607,-9999.0,-9999.0,0.01,1455000960,21.9,9.8,92.0,29.71,2.0,247.5,12.7,0.01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455000871,1455002671,39.770382,-84.194901,-9999.0,-9999.0,0.01,1455000960,21.9,9.8,92.0,29.71,2.0,247.5,12.7,0.01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455001400,1455003200,39.976398,-83.119225,-9999.0,-9999.0,0.01,1455002400,21.2,8.3,93.0,29.66,1.5,247.5,13.8,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3,1455001537,1455003337,39.6395,-84.23136099999998,-9999.0,-9999.0,0.01,1455001920,21.0,10.6,85.0,29.69,1.2,247.5,9.2,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1455001498,1455003298,39.232578,-84.159286,-9999.0,-9999.0,0.01,1455000960,21.0,10.6,93.0,29.73,2.5,247.5,9.2,-9999.0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1455002141,1455003941,39.746593,-84.23912,-9999.0,-9999.0,0.01,1455001680,21.9,9.8,92.0,29.68,2.0,247.5,12.7,0.0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
2,1455003661,1455005461,39.742783,-84.182472,-9999.0,-9999.0,0.01,1455004680,22.5,12.4,90.0,29.73,1.2,225.0,9.2,0.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1455003763,1455005563,39.75452,-84.159279,-9999.0,-9999.0,0.01,1455004680,22.5,12.4,90.0,29.73,1.2,225.0,9.2,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1455003731,1455005531,39.749916,-84.139359,-9999.0,-9999.0,0.01,1455004680,22.5,12.4,90.0,29.73,1.2,225.0,9.2,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455004001,1455005801,40.100903,-82.98410799999998,-9999.0,-9999.0,0.01,1455004200,24.8,16.1,86.0,29.65,1.8,-9999.0,8.1,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
2,1455004484,1455006284,39.77280800000001,-84.201851,-9999.0,-9999.0,0.0,1455004440,21.2,8.9,93.0,29.69,2.0,-9999.0,12.7,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
2,1455005199,1455006999,39.492485,-84.131798,-9999.0,-9999.0,0.01,1455005640,21.0,10.6,81.0,29.7,1.2,247.5,9.2,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1455005564,1455007364,39.570904,-84.251724,-9999.0,-9999.0,0.01,1455005640,21.0,10.6,81.0,29.7,1.2,247.5,9.2,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1455005420,1455007220,39.834282,-82.74382,-9999.0,-9999.0,0.0,1455004200,21.9,10.4,85.0,29.7,0.8,225.0,11.5,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455006216,1455008016,39.622787,-84.229858,-9999.0,-9999.0,0.01,1455005640,21.0,10.6,81.0,29.7,1.2,247.5,9.2,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455006269,1455008069,39.429871,-84.079666,-9999.0,-9999.0,0.01,1455005640,21.0,10.6,81.0,29.7,1.2,247.5,9.2,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455006030,1455007830,41.407391,-81.64676700000003,-9999.0,-9999.0,0.01,1455006480,32.0,22.5,82.0,29.58,10.0,247.5,12.7,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3,1455006953,1455008753,41.424404,-81.57867399999998,-9999.0,-9999.0,0.01,1455006480,32.0,22.5,82.0,29.58,10.0,247.5,12.7,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3,1455012406,1455014206,39.89217,-83.039169,-9999.0,-9999.0,0.01,1455011400,21.2,9.5,93.0,29.69,5.0,247.5,11.5,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1455016177,1455017977,41.022358,-83.650345,-9999.0,-9999.0,0.01,1455015840,27.0,13.5,81.0,29.64,2.5,247.5,19.6,0.0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
2,1455085096,1455086896,39.206806,-84.053253,-9999.0,-9999.0,0.0,1455084960,16.2,4.7,81.0,29.95,5.0,-9999.0,9.2,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
3,1455084360,1455095160,39.973797,-83.022285,-9999.0,-9999.0,0.01,1455085140,15.8,2.7,73.0,29.87,4.0,247.5,11.5,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,1455085469,1455087269,40.048008,-82.86421999999997,-9999.0,-9999.0,0.0,1455085140,15.8,2.7,73.0,29.87,4.0,247.5,11.5,0.0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2,1455087182,1455088982,39.814526,-84.021744,-9999.0,-9999.0,0.01,1455087480,15.4,1.0,82.0,29.95,7.0,225.0,13.8,0.0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455090652,1455092452,40.151196,-84.22003199999997,-9999.0,-9999.0,0.01,1455090900,14.0,-1.4,93.0,29.89,7.0,-9999.0,15.0,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
3,1455090608,1455092408,39.954617,-82.844238,-9999.0,-9999.0,0.01,1455090660,15.1,4.2,77.0,29.92,1.0,225.0,8.1,0.01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1455091290,1455093090,38.990551,-84.207497,-9999.0,-9999.0,0.01,1455090960,15.8,6.1,88.0,29.96,1.8,-9999.0,6.9,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
2,1455091716,1455093516,40.008995,-83.002678,-9999.0,-9999.0,0.0,1455090780,16.0,1.7,81.0,29.91,1.5,247.5,13.8,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,1455091882,1455093682,39.077332,-84.225014,-9999.0,-9999.0,0.0,1455092160,15.8,2.7,84.0,29.97,4.0,-9999.0,11.5,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
2,1455094254,1455096054,39.955452,-82.795845,-9999.0,-9999.0,0.01,1455094260,16.0,4.4,77.0,29.93,1.0,247.5,9.2,0.0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455095033,1455096833,40.224586,-82.929085,-9999.0,-9999.0,0.01,1455094500,17.6,5.0,79.0,29.87,3.0,-9999.0,11.5,-9999.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
3,1455097324,1455099124,39.976398,-83.119225,-9999.0,-9999.0,0.01,1455097800,15.8,3.4,79.0,29.91,1.5,-9999.0,10.4,-9999.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
3,1455100738,1455102538,39.98560300000001,-82.939247,-9999.0,-9999.0,0.01,1455101460,17.1,3.0,77.0,29.96,1.5,-9999.0,13.8,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
3,1455124200,1455148740,41.040714,-81.61314399999998,-9999.0,-9999.0,0.01,1455123240,19.9,8.6,81.0,29.89,1.0,292.5,10.4,0.0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455127740,1455148740,41.083679,-81.579002,-9999.0,-9999.0,1.28,1455127800,19.9,7.3,78.0,29.87,4.0,292.5,12.7,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455129704,1455131504,40.766891,-82.42411,-9999.0,-9999.0,0.01,1455130320,16.0,2.9,77.0,29.97,7.0,247.5,11.5,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,1455168749,1455170549,41.422199,-81.843018,-9999.0,-9999.0,0.01,1455169860,14.0,0.5,56.0,30.14,9.0,315.0,11.5,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,1455168651,1455170451,41.063995,-81.57294499999998,-9999.0,-9999.0,0.01,1455168600,14.0,1.2,74.0,30.03,4.0,315.0,10.4,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,1455171007,1455172807,39.747753,-84.20558199999998,-9999.0,-9999.0,0.01,1455170160,7.0,-5.7,87.0,30.22,10.0,-9999.0,8.1,-9999.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
2,1455171628,1455173428,38.99408,-84.142021,-9999.0,-9999.0,0.01,1455171360,15.4,-9999.0,70.0,30.18,10.0,-9999.0,-9999.0,-9999.0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
3,1455172140,1455224400,41.420818,-81.694008,-9999.0,-9999.0,0.01,1455173580,17.1,-0.3,59.0,30.12,10.0,315.0,21.9,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1455175078,1455176878,40.030342,-83.030197,-9999.0,-9999.0,0.01,1455173580,6.1,-6.8,83.0,30.22,10.0,-9999.0,8.1,-9999.0,15,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1
2,1455175119,1455176919,39.858089,-82.827904,-9999.0,-9999.0,0.01,1455174900,5.0,-2.1,81.0,30.2,10.0,225.0,3.5,-9999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3,1455175315,1455177115,41.112324,-81.60992399999998,-9999.0,-9999.0,0.01,1455175680,12.0,0.5,80.0,30.08,2.0,-9999.0,8.1,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
2,1455175696,1455177496,39.994061,-82.729416,-9999.0,-9999.0,0.01,1455177240,7.0,-9999.0,77.0,30.24,10.0,-9999.0,-9999.0,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3,1455175746,1455178690,41.355396,-81.81926700000002,-9999.0,-9999.0,0.01,1455177060,15.1,-1.6,51.0,30.18,10.0,315.0,18.4,-9999.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1455177235,1455179035,39.687389,-84.23796800000002,-9999.0,-9999.0,0.0,1455177180,9.0,-9999.0,77.0,30.26,9.0,-9999.0,-9999.0,-9999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2,1455178022,1455179822,39.751038,-84.214325,-9999.0,-9999.0,0.01,1455177480,7.5,-1.1,87.0,30.28,10.0,202.5,4.6,-9999.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1455178404,1455180204,39.749916,-84.139359,-9999.0,-9999.0,0.01,1455177480,7.5,-1.1,87.0,30.28,10.0,202.5,4.6,-9999.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
2,1455178997,1455180797,39.97509,-82.88460500000002,-9999.0,-9999.0,0.01,1455180660,12.0,2.7,70.0,30.27,9.0,292.5,5.8,-9999.0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
2,1455179654,1455181454,40.11195,-83.016663,-9999.0,-9999.0,0.48,1455180780,12.0,1.5,77.0,30.26,10.0,-9999.0,6.9,-9999.0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
3,1455179361,1455181161,41.424313,-81.57914,-9999.0,-9999.0,0.01,1455180780,18.0,-0.2,54.0,30.16,10.0,292.5,25.3,-9999.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
